sep=;
"Version";"4";;;;
"Language";"en-US";;;;
"Local export date";"29.12.2024 10:15:48";;;;
"Export UTC date";"2024-12-29T09:15:48.340Z";;;;
"Time zone";"Europe/Berlin";;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;
"Time period";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"10/12/2024 04.15 AM";"4,406";"4,610";"204";"0";"0"
"10/12/2024 04.30 AM";"3,921";"4,107";"186";"0";"0"
"10/12/2024 04.45 AM";"3,856";"4,058";"202";"0";"0"
"10/12/2024 05.00 AM";"75";"186";"111";"0";"0"
"10/12/2024 05.15 AM";"98";"184";"86";"0";"0"
"10/12/2024 05.30 AM";"145";"281";"136";"0";"0"
"10/12/2024 05.45 AM";"119";"415";"296";"0";"0"
"10/12/2024 06.00 AM";"73";"356";"283";"0";"0"
"10/12/2024 06.15 AM";"100";"457";"357";"0";"0"
"10/12/2024 06.30 AM";"146";"502";"356";"0";"0"
"10/12/2024 06.45 AM";"116";"466";"351";"0";"0"
"10/12/2024 07.00 AM";"72";"416";"344";"0";"0"
"10/12/2024 07.15 AM";"3,252";"3,534";"283";"0";"0"
"10/12/2024 07.30 AM";"5,425";"5,711";"287";"0";"0"
"10/12/2024 07.45 AM";"5,756";"6,034";"279";"15";"15"
"10/12/2024 08.00 AM";"2,484";"3,067";"583";"191";"191"
"10/12/2024 08.15 AM";"5,877";"6,509";"632";"406";"406"
"10/12/2024 08.30 AM";"465";"1,152";"688";"790";"790"
"10/12/2024 08.45 AM";"74";"930";"856";"984";"984"
"10/12/2024 09.00 AM";"150";"498";"348";"1,213";"1,213"
"10/12/2024 09.15 AM";"1,063";"1,659";"595";"1,705";"1,705"
"10/12/2024 09.30 AM";"342";"1,550";"1,209";"2,288";"2,288"
"10/12/2024 09.45 AM";"1,517";"3,657";"2,140";"3,115";"3,115"
"10/12/2024 10.00 AM";"4,104";"4,588";"484";"3,639";"3,639"
"10/12/2024 10.15 AM";"3,589";"3,828";"239";"2,703";"2,703"
"10/12/2024 10.30 AM";"141";"2,331";"2,190";"4,628";"4,628"
"10/12/2024 10.45 AM";"1,835";"2,948";"1,113";"3,370";"3,370"
"10/12/2024 11.00 AM";"933";"1,201";"269";"2,893";"2,893"
"10/12/2024 11.15 AM";"1,651";"2,891";"1,240";"4,645";"4,645"
"10/12/2024 11.30 AM";"150";"2,753";"2,603";"4,491";"4,491"
"10/12/2024 11.45 AM";"134";"2,661";"2,527";"4,965";"4,965"
"10/12/2024 12.00 PM";"75";"2,555";"2,480";"4,955";"4,955"
"10/12/2024 12.15 PM";"92";"2,602";"2,511";"5,574";"5,574"
"10/12/2024 12.30 PM";"149";"2,668";"2,519";"4,311";"4,311"
"10/12/2024 12.45 PM";"131";"2,660";"2,529";"4,834";"4,834"
"10/12/2024 01.00 PM";"72";"2,687";"2,615";"4,224";"4,224"
"10/12/2024 01.15 PM";"92";"2,670";"2,579";"4,967";"4,967"
"10/12/2024 01.30 PM";"150";"2,691";"2,541";"7,237";"7,237"
"10/12/2024 01.45 PM";"130";"2,677";"2,547";"7,635";"7,635"
"10/12/2024 02.00 PM";"73";"2,671";"2,598";"7,639";"7,639"
"10/12/2024 02.15 PM";"95";"2,680";"2,585";"4,721";"4,721"
"10/12/2024 02.30 PM";"152";"2,650";"2,498";"4,230";"4,230"
"10/12/2024 02.45 PM";"129";"2,614";"2,485";"4,769";"4,769"
"10/12/2024 03.00 PM";"72";"2,564";"2,492";"4,091";"4,091"
"10/12/2024 03.15 PM";"96";"2,576";"2,480";"4,512";"4,512"
"10/12/2024 03.30 PM";"152";"2,638";"2,486";"5,793";"5,793"
"10/12/2024 03.45 PM";"127";"2,687";"2,560";"6,306";"6,306"
"10/12/2024 04.00 PM";"73";"2,729";"2,656";"5,599";"5,599"
"10/12/2024 04.15 PM";"1,875";"3,326";"1,450";"4,039";"4,039"
"10/12/2024 04.30 PM";"4,004";"4,202";"198";"2,588";"2,588"
"10/12/2024 04.45 PM";"607";"787";"180";"2,247";"2,247"
"10/12/2024 05.00 PM";"73";"1,036";"963";"1,665";"1,665"
"10/12/2024 05.15 PM";"136";"1,279";"1,143";"782";"782"
"10/12/2024 05.30 PM";"147";"414";"267";"436";"436"
"10/12/2024 05.45 PM";"80";"733";"653";"121";"121"
"10/12/2024 06.00 PM";"72";"450";"378";"116";"116"
"10/12/2024 06.15 PM";"139";"460";"321";"28";"28"
"10/12/2024 06.30 PM";"148";"477";"329";"1";"1"
