sep=;
"Version";"4";;;;;
"Language";"en-US";;;;;
"Local export date";"29.12.2024 10:16:40";;;;;
"Export UTC date";"2024-12-29T09:16:40.489Z";;;;;
"Time zone";"Europe/Berlin";;;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;;
"Time period";"Bad Heizkörper [W]";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"11/16/2024 05.15 AM";"0";"5,968";"6,156";"188";"0";"0"
"11/16/2024 05.30 AM";"0";"4,715";"4,879";"164";"0";"0"
"11/16/2024 05.45 AM";"0";"91";"256";"165";"0";"0"
"11/16/2024 06.00 AM";"0";"105";"247";"142";"0";"0"
"11/16/2024 06.15 AM";"0";"159";"240";"81";"0";"0"
"11/16/2024 06.30 AM";"0";"3,156";"3,245";"89";"0";"0"
"11/16/2024 06.45 AM";"0";"5,823";"5,922";"99";"0";"0"
"11/16/2024 07.00 AM";"0";"4,136";"4,240";"103";"0";"0"
"11/16/2024 07.15 AM";"0";"4,237";"4,342";"104";"0";"0"
"11/16/2024 07.30 AM";"0";"5,219";"5,378";"159";"0";"0"
"11/16/2024 07.45 AM";"0";"91";"262";"171";"68";"68"
"11/16/2024 08.00 AM";"0";"99";"268";"169";"254";"254"
"11/16/2024 08.15 AM";"0";"160";"326";"166";"454";"454"
"11/16/2024 08.30 AM";"0";"1,571";"1,722";"151";"812";"812"
"11/16/2024 08.45 AM";"315";"5,222";"5,630";"93";"1,201";"1,201"
"11/16/2024 09.00 AM";"252";"5,494";"6,326";"580";"1,153";"1,153"
"11/16/2024 09.15 AM";"352";"91";"1,055";"612";"1,026";"1,026"
"11/16/2024 09.30 AM";"521";"95";"886";"270";"1,674";"1,674"
"11/16/2024 09.45 AM";"699";"159";"1,436";"579";"2,589";"2,589"
"11/16/2024 10.00 AM";"381";"1,042";"1,947";"525";"3,832";"3,832"
"11/16/2024 10.15 AM";"73";"4,931";"5,744";"741";"4,623";"4,623"
"11/16/2024 10.30 AM";"348";"2,298";"3,087";"441";"4,846";"4,846"
"11/16/2024 10.45 AM";"493";"88";"928";"347";"4,955";"4,955"
"11/16/2024 11.00 AM";"379";"133";"780";"269";"5,012";"5,012"
"11/16/2024 11.15 AM";"342";"160";"921";"419";"5,054";"5,054"
"11/16/2024 11.30 AM";"270";"967";"2,230";"993";"5,017";"5,017"
"11/16/2024 11.45 AM";"418";"1,229";"2,368";"721";"5,071";"5,071"
"11/16/2024 12.00 PM";"297";"323";"3,238";"2,618";"5,158";"5,158"
"11/16/2024 12.15 PM";"213";"1,474";"5,235";"3,548";"4,720";"4,720"
"11/16/2024 12.30 PM";"344";"1,402";"3,253";"1,508";"5,038";"5,038"
"11/16/2024 12.45 PM";"188";"4,215";"5,018";"615";"5,461";"5,461"
"11/16/2024 01.00 PM";"482";"1,432";"2,395";"481";"5,552";"5,552"
"11/16/2024 01.15 PM";"370";"1,221";"1,755";"163";"5,961";"5,961"
"11/16/2024 01.30 PM";"372";"153";"1,023";"498";"2,990";"2,990"
"11/16/2024 01.45 PM";"360";"166";"837";"311";"1,447";"1,447"
"11/16/2024 02.00 PM";"330";"98";"611";"184";"1,131";"1,131"
"11/16/2024 02.15 PM";"191";"88";"611";"332";"1,109";"1,109"
"11/16/2024 02.30 PM";"0";"152";"580";"428";"867";"867"
"11/16/2024 02.45 PM";"0";"164";"396";"233";"850";"850"
"11/16/2024 03.00 PM";"0";"803";"1,009";"206";"623";"623"
